threshold,n_flagged,tp,fp,fn,tn,precision,recall,f1,mcc,fpr,experiment,mode,k
0.88,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
0.9,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
0.92,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
0.9400000000000001,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
0.96,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
0.98,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_none_k1,none,1
1.0,0,0,0,1500,48500,,0.0,0.0,0.0,0.0,knn_defense_cifar_1xs_1500_none_k1,none,1
0.0,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.02,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.04,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.06,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.08,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.1,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.12,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.14,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.16,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.18,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.2,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.22,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.24,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.26,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.28,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.3,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.32,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.34,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.36,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.38,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.4,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.42,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.44,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.46,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.48,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.5,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.52,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.54,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.56,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.58,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.6,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.62,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.64,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.66,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.68,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.7000000000000001,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.72,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.74,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.76,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.78,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.8,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.8200000000000001,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.84,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.86,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.88,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.9,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.92,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
